image index, last exit, entropy, gt, pred, correct
0, 0, 0.08155953139066696, 17, 17, 1
1, 0, 0.03194805234670639, 82, 82, 1
2, 0, 0.09029163420200348, 0, 0, 1
3, 0, 0.002655237913131714, 82, 82, 1
4, 0, 0.013013557530939579, 53, 53, 1
5, 0, 0.02754819579422474, 82, 82, 1
6, 0, 0.04859752207994461, 82, 82, 1
7, 0, 0.04959920048713684, 82, 82, 1
8, 0, 0.09830276668071747, 0, 0, 1
9, 0, 0.037518009543418884, 94, 94, 1
10, 0, 0.05253172293305397, 0, 0, 1
11, 0, 0.09806999564170837, 53, 53, 1
12, 0, 0.04331398010253906, 76, 76, 1
13, 0, 0.061440981924533844, 94, 94, 1
14, 0, 0.07801966369152069, 53, 53, 1
15, 0, 0.05195944011211395, 0, 0, 1
16, 0, 0.0914883017539978, 60, 60, 1
17, 0, 0.0261769350618124, 82, 82, 1
18, 0, 0.03285710886120796, 60, 60, 1
19, 0, 0.09805773198604584, 54, 54, 1
20, 0, 0.027945488691329956, 92, 82, 0
21, 0, 0.053339894860982895, 94, 94, 1
22, 0, 0.006624739617109299, 82, 82, 1
23, 0, 0.016587713733315468, 62, 62, 1
24, 0, 0.03898610919713974, 17, 17, 1
25, 0, 0.0893510952591896, 47, 47, 1
26, 0, 0.013283278793096542, 82, 82, 1
27, 0, 0.010356873273849487, 94, 94, 1
28, 0, 0.0544661208987236, 0, 0, 1
29, 0, 0.038969121873378754, 62, 62, 1
30, 0, 0.01772523857653141, 83, 53, 0
31, 0, 0.009452922269701958, 53, 53, 1
32, 0, 0.00509224459528923, 94, 94, 1
33, 0, 0.0008757944451645017, 94, 94, 1
34, 0, 0.0026496960781514645, 94, 94, 1
35, 0, 0.08545665442943573, 52, 52, 1
36, 0, 0.024506567046046257, 20, 20, 1
37, 0, 0.02339731901884079, 76, 76, 1
38, 0, 0.07123066484928131, 14, 82, 0
39, 0, 0.07118959724903107, 53, 53, 1
40, 0, 0.05628588795661926, 60, 60, 1
41, 0, 0.02710161730647087, 60, 60, 1
42, 0, 0.027319902554154396, 82, 82, 1
43, 0, 0.0673464834690094, 53, 53, 1
44, 0, 0.044626329094171524, 71, 60, 0
45, 0, 0.028282862156629562, 84, 82, 0
46, 0, 0.08611723780632019, 69, 69, 1
47, 0, 0.06000632792711258, 76, 76, 1
48, 0, 0.0755055844783783, 60, 60, 1
49, 0, 0.08869102597236633, 20, 20, 1
50, 0, 0.017771847546100616, 83, 53, 0
51, 0, 0.009283799678087234, 6, 82, 0
52, 0, 0.08314304798841476, 62, 82, 0
53, 0, 0.0029709232039749622, 53, 53, 1
54, 0, 0.08626232296228409, 23, 23, 1
55, 0, 0.0026987092569470406, 82, 82, 1
56, 0, 0.0004526128468569368, 94, 94, 1
57, 0, 0.05312046781182289, 82, 82, 1
58, 0, 0.08864691108465195, 33, 33, 1
59, 0, 0.07498477399349213, 0, 53, 0
60, 0, 0.007974551990628242, 82, 82, 1
61, 0, 0.05731482431292534, 53, 53, 1
62, 0, 0.09604477882385254, 76, 76, 1
63, 0, 0.03971618413925171, 20, 20, 1
64, 0, 0.04412875324487686, 47, 47, 1
65, 0, 0.012231764383614063, 53, 53, 1
66, 0, 0.02409582957625389, 47, 47, 1
67, 0, 0.0436897799372673, 82, 82, 1
68, 0, 0.02437598444521427, 82, 82, 1
69, 0, 0.0812448114156723, 53, 53, 1
70, 0, 0.0756785050034523, 47, 47, 1
71, 0, 0.0021559540182352066, 53, 53, 1
72, 0, 0.07980550825595856, 87, 87, 1
73, 0, 0.09487846493721008, 6, 82, 0
74, 0, 0.0012518111616373062, 94, 94, 1
75, 0, 0.02817699871957302, 82, 82, 1
76, 0, 0.009849714115262032, 82, 82, 1
77, 0, 0.03385040909051895, 94, 94, 1
78, 0, 0.06752316653728485, 94, 94, 1
79, 0, 0.06694399565458298, 79, 33, 0
80, 0, 0.047129590064287186, 60, 60, 1
81, 0, 0.009313000366091728, 82, 82, 1
82, 0, 0.0076752002350986, 76, 76, 1
83, 0, 0.06206075847148895, 39, 39, 1
84, 0, 0.010280828922986984, 60, 60, 1
85, 0, 0.09386784583330154, 54, 54, 1
86, 0, 0.006537320092320442, 94, 94, 1
87, 0, 0.0615406408905983, 54, 54, 1
88, 0, 0.00028838799335062504, 94, 94, 1
89, 0, 0.06135302037000656, 82, 82, 1
90, 0, 0.06802146136760712, 94, 94, 1
91, 0, 0.018975939601659775, 94, 94, 1
92, 0, 0.0577804259955883, 76, 76, 1
93, 0, 0.03794608265161514, 76, 76, 1
94, 0, 0.05684244632720947, 57, 53, 0
95, 0, 0.07821173965930939, 94, 94, 1
96, 0, 0.08466198295354843, 20, 20, 1
97, 0, 0.043658722192049026, 60, 60, 1
98, 0, 0.01604289561510086, 53, 53, 1
99, 0, 0.07610522210597992, 60, 60, 1
100, 0, 0.013334513641893864, 82, 82, 1
101, 0, 0.07489516586065292, 94, 94, 1
102, 0, 0.05297530069947243, 76, 76, 1
103, 0, 0.0896240621805191, 41, 41, 1
104, 0, 0.02510438859462738, 94, 94, 1
105, 0, 0.0013835178688168526, 94, 94, 1
106, 0, 0.026564981788396835, 53, 53, 1
107, 0, 0.029263269156217575, 94, 94, 1
108, 0, 0.05113263428211212, 94, 94, 1
109, 0, 0.0029696119017899036, 94, 94, 1
110, 0, 0.040543198585510254, 94, 94, 1
111, 0, 0.07505811750888824, 62, 82, 0
112, 0, 0.07638546079397202, 76, 76, 1
113, 0, 0.02420894056558609, 82, 82, 1
114, 0, 0.005314197391271591, 82, 82, 1
115, 0, 0.0638304203748703, 94, 94, 1
116, 0, 0.055494897067546844, 94, 94, 1
117, 0, 0.03778325766324997, 47, 47, 1
118, 0, 0.07295329868793488, 60, 60, 1
119, 0, 0.009225315414369106, 6, 82, 0
120, 0, 0.09696494787931442, 75, 75, 1
121, 0, 0.01593703404068947, 94, 94, 1
122, 0, 0.06067202240228653, 82, 82, 1
123, 0, 0.09516135603189468, 70, 70, 1
124, 0, 0.04319421947002411, 75, 75, 1
125, 0, 0.0472710058093071, 82, 82, 1
126, 0, 0.07221588492393494, 53, 53, 1
127, 0, 0.02467191405594349, 47, 47, 1
128, 0, 0.04258754104375839, 82, 82, 1
129, 0, 0.09011000394821167, 94, 94, 1
130, 0, 0.06978121399879456, 53, 53, 1
131, 0, 0.06655216217041016, 94, 94, 1
132, 0, 0.012194220907986164, 82, 82, 1
133, 0, 0.03488568589091301, 94, 94, 1
